starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 13:18:33 2017	1489432713	0	107	107	101
Mon Mar 13 13:18:33 2017	1489432713	0	107	107	101
Mon Mar 13 13:18:32 2017	1489432712	0	107	107	101
Mon Mar 13 13:18:33 2017	1489432713	0	108	108	107
Mon Mar 13 13:18:33 2017	1489432713	0	109	109	106
Mon Mar 13 13:18:33 2017	1489432713	0	109	109	102
Mon Mar 13 13:18:33 2017	1489432713	0	109	109	108
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	99
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	109
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	103
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	103
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	108
Mon Mar 13 13:18:32 2017	1489432712	0	110	110	107
Mon Mar 13 13:18:32 2017	1489432712	0	111	111	110
Mon Mar 13 13:18:33 2017	1489432713	0	111	111	102
Mon Mar 13 13:18:33 2017	1489432713	0	112	112	107
Mon Mar 13 13:18:33 2017	1489432713	0	113	113	105
Mon Mar 13 13:18:33 2017	1489432713	0	113	113	105
Mon Mar 13 13:18:33 2017	1489432713	0	113	113	112
Mon Mar 13 13:18:33 2017	1489432713	0	114	114	111
Mon Mar 13 13:18:33 2017	1489432713	0	114	114	111
Mon Mar 13 13:18:33 2017	1489432713	0	114	115	99
Mon Mar 13 13:18:33 2017	1489432713	0	115	115	103
Mon Mar 13 13:18:32 2017	1489432712	0	116	116	114
Mon Mar 13 13:18:33 2017	1489432713	0	116	116	115
Mon Mar 13 13:18:33 2017	1489432713	0	116	116	103
Mon Mar 13 13:18:33 2017	1489432713	0	117	117	114
Mon Mar 13 13:18:33 2017	1489432713	0	117	117	112
Mon Mar 13 13:18:33 2017	1489432713	0	118	118	113
Mon Mar 13 13:18:33 2017	1489432713	0	118	118	109
Mon Mar 13 13:18:33 2017	1489432713	0	119	119	117
Mon Mar 13 13:18:33 2017	1489432713	0	119	119	115
Mon Mar 13 13:18:33 2017	1489432713	0	119	119	107
Mon Mar 13 13:18:33 2017	1489432713	0	120	120	115
Mon Mar 13 13:18:33 2017	1489432713	0	120	120	106
Mon Mar 13 13:18:33 2017	1489432713	0	121	121	116
Mon Mar 13 13:18:33 2017	1489432713	0	122	122	116
Mon Mar 13 13:18:33 2017	1489432713	0	122	122	120
Mon Mar 13 13:18:33 2017	1489432713	0	123	123	113
Mon Mar 13 13:18:33 2017	1489432713	0	123	123	118
Mon Mar 13 13:18:33 2017	1489432713	0	126	126	122
Mon Mar 13 13:18:34 2017	1489432714	0	129	129	125
Mon Mar 13 13:18:33 2017	1489432713	0	131	131	115
Mon Mar 13 13:18:35 2017	1489432715	0	132	132	130
Mon Mar 13 13:18:36 2017	1489432716	0	133	133	130
Mon Mar 13 13:18:34 2017	1489432714	0	133	133	132
Mon Mar 13 13:18:34 2017	1489432714	0	133	133	116
Mon Mar 13 13:18:34 2017	1489432714	0	133	134	130
Mon Mar 13 13:18:36 2017	1489432716	0	134	134	128
Mon Mar 13 13:18:36 2017	1489432716	0	134	134	132
Mon Mar 13 13:18:36 2017	1489432716	0	134	135	128
Mon Mar 13 13:18:36 2017	1489432716	0	135	135	129
Mon Mar 13 13:18:36 2017	1489432716	0	135	135	130
Mon Mar 13 13:18:36 2017	1489432716	0	135	135	129
Mon Mar 13 13:18:35 2017	1489432715	0	137	137	128
Mon Mar 13 13:18:36 2017	1489432716	0	139	139	138
Mon Mar 13 13:18:33 2017	1489432713	0	139	139	124
Mon Mar 13 13:18:34 2017	1489432714	0	140	140	138
Mon Mar 13 13:18:36 2017	1489432716	0	140	140	136
Mon Mar 13 13:18:34 2017	1489432714	0	140	140	136
Mon Mar 13 13:18:36 2017	1489432716	0	141	141	141
Mon Mar 13 13:18:35 2017	1489432715	0	141	141	138
Mon Mar 13 13:18:35 2017	1489432715	0	141	141	139
Mon Mar 13 13:18:35 2017	1489432715	0	143	143	135
Mon Mar 13 13:18:36 2017	1489432716	0	143	143	138
Mon Mar 13 13:18:35 2017	1489432715	0	143	143	130
Mon Mar 13 13:18:34 2017	1489432714	0	143	143	141
Mon Mar 13 13:18:35 2017	1489432715	0	144	144	136
Mon Mar 13 13:18:36 2017	1489432716	0	144	144	134
Mon Mar 13 13:18:36 2017	1489432716	0	145	145	140
Mon Mar 13 13:18:34 2017	1489432714	0	145	146	139
Mon Mar 13 13:18:36 2017	1489432716	0	146	146	146
Mon Mar 13 13:18:34 2017	1489432714	0	147	147	142
Mon Mar 13 13:18:35 2017	1489432715	0	147	147	136
Mon Mar 13 13:18:36 2017	1489432716	0	148	148	141
Mon Mar 13 13:18:35 2017	1489432715	0	148	148	140
Mon Mar 13 13:18:35 2017	1489432715	0	148	148	144
Mon Mar 13 13:18:34 2017	1489432714	0	149	149	147
Mon Mar 13 13:18:33 2017	1489432713	0	149	149	146
Mon Mar 13 13:18:35 2017	1489432715	0	149	149	147
Mon Mar 13 13:18:35 2017	1489432715	0	149	149	146
Mon Mar 13 13:18:35 2017	1489432715	0	150	150	139
Mon Mar 13 13:18:35 2017	1489432715	0	150	150	142
Mon Mar 13 13:18:35 2017	1489432715	0	151	151	148
Mon Mar 13 13:18:36 2017	1489432716	0	151	151	140
Mon Mar 13 13:18:36 2017	1489432716	0	151	151	145
Mon Mar 13 13:18:35 2017	1489432715	0	152	152	144
Mon Mar 13 13:18:36 2017	1489432716	0	152	152	141
Mon Mar 13 13:18:35 2017	1489432715	0	153	153	149
Mon Mar 13 13:18:35 2017	1489432715	0	153	153	145
Mon Mar 13 13:18:36 2017	1489432716	0	153	153	144
Mon Mar 13 13:18:34 2017	1489432714	0	153	153	148
Mon Mar 13 13:18:35 2017	1489432715	0	153	153	144
Mon Mar 13 13:18:35 2017	1489432715	0	153	153	147
